2018-Aug-12 15:14:19.047050 INFO    [Core] Block 13400 (53a68bb38b690b885cfc86787320e58cfd6d6b4ec72112f56ce990a52c6fcf7e) added to main chain
2018-Aug-12 15:14:19.899148 INFO    [Core] Block 13500 (ac53d8e801768db3b1f8d4586b94bdc4e6c7b375f515a74e536b807a7a6a034a) added to main chain
2018-Aug-12 15:14:20.545448 INFO    [Core] Block 13600 (7f1ed126c018e1f51809580cd7e7edd76927d0719b00fa0157f92fe9424ae75c) added to main chain
2018-Aug-12 15:14:21.239457 INFO    [Core] Block 13700 (daff526cdc8bab7d3b1eafb6723b7195d5f1d7345a32f1a7be7048330832ce53) added to main chain
2018-Aug-12 15:14:21.897723 INFO    [Core] Block 13800 (bcae40e34976c4d9674bd7a273ffed34a4af9ccdb5b13b640da21ccd8ba29513) added to main chain
2018-Aug-12 15:14:22.735373 INFO    [Core] Block 13900 (981c8281ef188b647b5806a36d09a649b6897dfa8a6c82428c8134bdd9917450) added to main chain
2018-Aug-12 15:14:23.212061 INFO    [protocol] New Top Block Detected: 703769
2018-Aug-12 15:14:23.735123 INFO    [Core] Block 14000 (c0324c8e668fd99bbb801f4c133a2b64e220a54b4e89b9141426aa5e859971c1) added to main chain
2018-Aug-12 15:14:24.429212 INFO    [Core] Block 14100 (4a3cdd4c7b3da44daac04667ff4191b6c37cf07af2f7769b78087751894b9819) added to main chain
2018-Aug-12 15:14:25.198641 INFO    [Core] Block 14200 (a41141972d34acd64c28afa1228cbfb8df3029f089a9ee3114cb8b82cebe391e) added to main chain
2018-Aug-12 15:14:26.057607 INFO    [Core] Block 14300 (379a89dfe6ae245f2c26819eaf0d48513fa367d40fc5d4b9b871a85e35794c99) added to main chain
